query,url,title,upload_date,channel,views,likes,dislikes,comment_count,comment_text,comment_author,comment_date,comment_likes,sentiment_type
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,Ghen Co Vy - Official English Version: https://youtu.be/wGoodWEtV8c,MIN OFFICIAL,2020-04-09T14:10:58Z,2705,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,me trying to sing this: owjebeheidishwbeiodjd xoa xoa xoa xoa dèu difjhfhdbdodid corona~ corona~,My Raging Whormoans,2020-03-02T17:13:03Z,15184,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,30 million people didn't xoa xoa xoa xoa xoa,Nick B,2020-09-18T17:48:38Z,485,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,This is cool!Vietnam is so talented! I’m from the US but My parents are from Vietnam !,Deleted user,2020-11-27T00:14:26Z,149,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,"If y’all wanna learn Vietnamese for this song, it’s actually pretty easy. If you know English, you already know how to pronounce most of the letters. It’s surprising. I learned Vietnamese for a few years and stopped but I still understand this song ;-; (also someone in the replies was talking about 6 tones but it may sound hard but it’s still kinda easy, some words you say short, others like a question, and sometimes very happy)",thatweird _kid,2020-10-29T00:50:40Z,276,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,I like vpop much more than anyother pops. Congrats on having a great government veitnam.,Avalisia Lin,2020-11-27T04:02:17Z,331,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,Từ sau cái dịch covid 19 này mình càng ngày càng yêu Việt nam rồi,Ngân Nguyễn,2020-02-23T13:51:18Z,2835,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,I like this song❤❤❤ I think Vietnamese people are very talented 👏👏👏👏 Love from India 🇮🇳❤🇻🇳,ANKUR PATIR,2021-01-24T10:54:39Z,115,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,"bây giờ còn ai nghe bài này nữa không, như tôi nè !",Mạnh Súp Cà Chua,2020-12-26T16:40:25Z,60,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,"Nghe tin Hải Dương, Quảng Ninh có bệnh nhân bị nhiễm nên nghe lại 😢",Đăng Reus,2021-01-28T13:55:59Z,135,positive
coronavirus,https://www.youtube.com/watch?v=BtulL3oArQw,Ghen Cô Vy| NIOEH x K.HƯNG x MIN x ERIK | WASHING HAND SONG | CORONA SONG,2020-02-23T11:30:00Z,MIN OFFICIAL,75069587,580779,39727,27009,I remember listening to this a lot at the begging of quarantine😭 even made a TikTok with this song,Johanna Grace,2020-12-06T22:10:47Z,155,positive
